symbol,company_name,year,pb,pe,ps,pb_peer_avg,pe_peer_avg,ps_peer_avg
AGRO.JK,PT Bank Raya Indonesia Tbk,2020,5.10041537517871,699.5617542625,32.2561137496681,1.26242482560343,27.296475059198,6.37891855078523
AGRO.JK,PT Bank Raya Indonesia Tbk,2021,16.5852681999119,-13.383125920765,43.7349316148802,1.46630589795505,15.0145590632269,6.3740557278722
AGRO.JK,PT Bank Raya Indonesia Tbk,2022,2.91966538480718,863.362708315156,13.8554773593519,1.00852386298116,15.1292552726864,4.34357834686358
AGRO.JK,PT Bank Raya Indonesia Tbk,2023,2.24239599946434,,13.8137163076513,0.83232965465001,14.0723342502017,3.89944781671295
AGRO.JK,PT Bank Raya Indonesia Tbk,2024,1.93814664502198,188.89374542558,11.580330652672,0.932091839711511,18.4025128202024,3.61350695366404
AGRS.JK,PT Bank IBK Indonesia Tbk.,2020,1.1979968818394,-15.4124315209957,10.7602118003026,1.26242482560343,27.296475059198,6.37891855078523
AGRS.JK,PT Bank IBK Indonesia Tbk.,2021,0.968759993884327,227.251370399374,7.66190459846287,1.46630589795505,15.0145590632269,6.3740557278722
AGRS.JK,PT Bank IBK Indonesia Tbk.,2022,0.590653425346037,23.7980165097531,4.75606340130009,1.00852386298116,15.1292552726864,4.34357834686358
AGRS.JK,PT Bank IBK Indonesia Tbk.,2023,0.583817533196528,,5.21292571828873,0.83232965465001,14.0723342502017,3.89944781671295
AGRS.JK,PT Bank IBK Indonesia Tbk.,2024,0.66491215302863,18.4025128202024,5.71000239174564,0.932091839711511,18.4025128202024,3.61350695366404
AMAR.JK,PT Bank Amar Indonesia Tbk.,2020,2.11708938165808,263.102725366876,3.84777854237496,1.26242482560343,27.296475059198,6.37891855078523
AMAR.JK,PT Bank Amar Indonesia Tbk.,2021,2.89334923456568,749.939246658566,5.14622379569858,1.46630589795505,15.0145590632269,6.3740557278722
AMAR.JK,PT Bank Amar Indonesia Tbk.,2022,1.32926180003205,-27.1719193466383,5.17531978009181,1.00852386298116,15.1292552726864,4.34357834686358
AMAR.JK,PT Bank Amar Indonesia Tbk.,2023,1.78426804211479,,4.91123856798975,0.83232965465001,14.0723342502017,3.89944781671295
AMAR.JK,PT Bank Amar Indonesia Tbk.,2024,1.23727840445616,21.3455087065961,2.86573055767487,0.932091839711511,18.4025128202024,3.61350695366404
ARTO.JK,PT Bank Jago Tbk.,2020,37.5020388158071,-243.792432227128,694.972856734688,1.26242482560343,27.296475059198,6.37891855078523
ARTO.JK,PT Bank Jago Tbk.,2021,26.6057575924713,2551.41588393937,360.23930277217,1.46630589795505,15.0145590632269,6.3740557278722
ARTO.JK,PT Bank Jago Tbk.,2022,6.17515737696546,3206.81204047006,35.6644646905725,1.00852386298116,15.1292552726864,4.34357834686358
ARTO.JK,PT Bank Jago Tbk.,2023,4.80842170275101,555.304994585224,25.5251742374783,0.83232965465001,14.0723342502017,3.89944781671295
ARTO.JK,PT Bank Jago Tbk.,2024,4.51085079243753,464.479128012908,25.6008052275489,0.932091839711511,18.4025128202024,3.61350695366404
BABP.JK,PT Bank MNC Internasional Tbk.,2020,0.80774246617377,120.318801613213,2.34712762529878,1.26242482560343,27.296475059198,6.37891855078523
BABP.JK,PT Bank MNC Internasional Tbk.,2021,2.28962099078529,420.88902704383,9.91763383129035,1.46630589795505,15.0145590632269,6.3740557278722
BABP.JK,PT Bank MNC Internasional Tbk.,2022,1.18827548524629,61.3846300352347,4.21910549203698,1.00852386298116,15.1292552726864,4.34357834686358
BABP.JK,PT Bank MNC Internasional Tbk.,2023,0.558976153353065,25.7365631927717,2.70244526854512,0.83232965465001,14.0723342502017,3.89944781671295
BABP.JK,PT Bank MNC Internasional Tbk.,2024,0.898207127768751,47.7927060771632,4.51565146605373,0.932091839711511,18.4025128202024,3.61350695366404
BACA.JK,PT Bank Capital Indonesia Tbk,2020,1.60449551356963,42.8566776305077,7.28153996824009,1.26242482560343,27.296475059198,6.37891855078523
BACA.JK,PT Bank Capital Indonesia Tbk,2021,0.878097543258317,53.5863159407791,4.49607317214364,1.46630589795505,15.0145590632269,6.3740557278722
BACA.JK,PT Bank Capital Indonesia Tbk,2022,0.279236400989555,28.5723178436926,1.78534268661012,1.00852386298116,15.1292552726864,4.34357834686358
BACA.JK,PT Bank Capital Indonesia Tbk,2023,0.776857688194625,25.8806504804111,4.03657437425956,0.83232965465001,14.0723342502017,3.89944781671295
BACA.JK,PT Bank Capital Indonesia Tbk,2024,0.757082014190782,22.0224371630297,3.14705486712707,0.932091839711511,18.4025128202024,3.61350695366404
BANK.JK,PT Bank Aladin Syariah Tbk,2021,28.7443600327622,-247.998350855494,824.158057709698,1.46630589795505,15.0145590632269,6.3740557278722
BANK.JK,PT Bank Aladin Syariah Tbk,2022,6.53553808192472,-77.5462132851163,264.862495326259,1.00852386298116,15.1292552726864,4.34357834686358
BANK.JK,PT Bank Aladin Syariah Tbk,2023,5.87669892679373,-79.9646837918655,74.8826333132336,0.83232965465001,14.0723342502017,3.89944781671295
BANK.JK,PT Bank Aladin Syariah Tbk,2024,4.09871163883543,-67.6443036234353,37.5775488314586,0.932091839711511,18.4025128202024,3.61350695366404
BBCA.JK,PT Bank Central Asia Tbk.,2020,4.475852894277,30.4530861602451,11.3386964329326,1.26242482560343,27.296475059198,6.37891855078523
BBCA.JK,PT Bank Central Asia Tbk.,2021,4.39493296430937,28.3524373811765,11.4028644028555,1.46630589795505,15.0145590632269,6.3740557278722
