symbol,company_name,year,tax,revenue,earnings,cash_only,total_debt,fixed_assets,gross_profit,total_assets,total_equity,operating_pnl,total_liabilities,current_liabilities,earnings_before_tax,cash_and_equivalents,total_cash_and_due_from_banks
BABP.JK,PT Bank MNC Internasional Tbk.,2021,9679000000.0,546098000000,12868000000.0,,131542000000.0,,,14015360000000,2365457000000,26361000000.0,11649903000000,,22547000000,,1701782000000.0
BABP.JK,PT Bank MNC Internasional Tbk.,2022,101556000000.0,763906000000,52505000000.0,,574374000000.0,,,16862363000000,2712334000000,156075000000.0,14150029000000,,154061000000,,2701096000000.0
BABP.JK,PT Bank MNC Internasional Tbk.,2023,43526000000.0,742028000000,77916000000.0,82833000000.0,,,,18147378000000,3587434000000,,14559944000000,,121442000000,,3659710000000.0
BACA.JK,PT Bank Capital Indonesia Tbk,2018,35573000000.0,580359000000,106500000000.0,,966277000000.0,,,18019614000000,1484963000000,157538000000.0,16534651000000,,142073000000,,4445906000000.0
BACA.JK,PT Bank Capital Indonesia Tbk,2019,8065000000.0,558166000000,15884000000.0,,1182120000000.0,,,18959622000000,1537640000000,32752000000.0,17421982000000,,23949000000,,2001702000000.0
BACA.JK,PT Bank Capital Indonesia Tbk,2020,17545000000.0,361462000000,61414000000.0,,1974306000000.0,,,20223558000000,1640391000000,81752000000.0,18583167000000,,78959000000,,3241989000000.0
BACA.JK,PT Bank Capital Indonesia Tbk,2021,13909000000.0,414584000000,34785000000.0,,1221137000000.0,,,22325883000000,2122771000000,56832000000.0,20203112000000,,48694000000,,6833177000000.0
BACA.JK,PT Bank Capital Indonesia Tbk,2022,9315000000.0,514187000000,32129000000.0,,3066384000000.0,,,20628501000000,3287537000000,57543000000.0,17340964000000,,41444000000,,3715224000000.0
BACA.JK,PT Bank Capital Indonesia Tbk,2023,28873000000.0,652483000000,101767000000.0,57210000000.0,271279999999.0,,,19259187000000,3390320000000,,15868867000000,,130640000000,,2165864000000.0
BANK.JK,PT Bank Aladin Syariah Tbk,2018,502000000.0,63421000000,-64720000000.0,,,,,661912000000,530263000000,-89765000000.0,131649000000,,-64218000000,,371129000000.0
BANK.JK,PT Bank Aladin Syariah Tbk,2019,-330000000.0,53183000000,77304000000.0,,,,,715623000000,595717000000,8556000000.0,119906000000,,76974000000,,113799000000.0
BANK.JK,PT Bank Aladin Syariah Tbk,2020,,27157000000,44868000000.0,,4000000.0,,,721397000000,641274000000,42471000000.0,80123000000,,44868000000,,53445000000.0
BANK.JK,PT Bank Aladin Syariah Tbk,2021,,36493000000,-121275000000.0,,27902000000.0,,,2173162000000,1046327000000,-119827000000.0,1126835000000,,-121275000000,,1156078000000.0
BANK.JK,PT Bank Aladin Syariah Tbk,2022,,77561000000,-264913000000.0,,707689000000.0,,,4733401000000,3143276000000,-264673000000.0,1590125000000,,-264913000000,,1818104000000.0
BANK.JK,PT Bank Aladin Syariah Tbk,2023,0.0,242126000000,-226738000000.0,1013000000.0,30420000000.0,,,7092120000000,3085241000000,,4006879000000,,-226738000000,,2189963000000.0
BBCA.JK,PT Bank Central Asia Tbk.,2018,6854404000000.0,63028090000000,25855154000000.0,,9375812000000.0,,,824787944000000,151753427000000,32512504000000.0,673034517000000,,32706064000000,,65239752000000.0
BBCA.JK,PT Bank Central Asia Tbk.,2019,7719024000000.0,71602009000000,28565053000000.0,,11011116000000.0,,,918989312000000,174143156000000,36300870000000.0,744846156000000,,36288998000000,,99639894000000.0
BBCA.JK,PT Bank Central Asia Tbk.,2020,6421398000000.0,72867812000000,27131109000000.0,,12881754000000.0,,,1075570256000000,184714709000000,33570282000000.0,890855547000000,,33568507000000,,90206272000000.0
BBCA.JK,PT Bank Central Asia Tbk.,2021,7401015000000.0,78130281000000,31422660000000.0,,12384014000000.0,,,1228344680000000,202848934000000,38921015000000.0,1025495746000000,,38841174000000,,158631551000000.0
BBCA.JK,PT Bank Central Asia Tbk.,2022,9711461000000.0,88981034000000,40735722000000.0,,10298288000000.0,,,1314731674000000,221181655000000,50482669000000.0,1093550019000000,,50467033000000,,144146172000000.0
BBCA.JK,PT Bank Central Asia Tbk.,2023,11521662000000.0,101914664000000,48639122000000.0,21701514000000.0,2371890000000.0,,,1408107010000000,242537593000000,,1165569417000000,,60179757000000,,103433719000000.0
BBHI.JK,PT Allo Bank Indonesia Tbk,2018,2348000000.0,104487000000,-123143000000.0,,246596000000.0,,,2264173000000,336482000000,-120555000000.0,1927690000000,,-120795000000,,286698000000.0
BBHI.JK,PT Allo Bank Indonesia Tbk,2019,-9870000000.0,95722000000,-36550000000.0,,217171000000.0,,,2527173000000,299766000000,-46603000000.0,2227407000000,,-46420000000,,334832000000.0
BBHI.JK,PT Allo Bank Indonesia Tbk,2020,8815000000.0,51632000000,37011000000.0,,738044000000.0,,,2586663000000,347066000000,46116000000.0,2239597000000,,45827000000,,100633000000.0
BBHI.JK,PT Allo Bank Indonesia Tbk,2021,27524000000.0,299327000000,192475000000.0,,1124940000000.0,,,4649357000000,1303271000000,220170000000.0,3346086000000,,219999000000,,177171000000.0
BBHI.JK,PT Allo Bank Indonesia Tbk,2022,82283000000.0,755674000000,270029000000.0,,37367000000.0,,,11058956000000,6411269000000,351866000000.0,4647687000000,,352312000000,,684057000000.0
BBHI.JK,PT Allo Bank Indonesia Tbk,2023,130708140000.0,1151408570000,444566130000.0,3848910000.0,25640000000.0,,,12750434570000,6885075880000,,5865358700000,,575274270000,,1849310350000.0
BBKP.JK,PT Bank KB Bukopin Tbk,2018,26365000000.0,3391928000000,189595000000.0,,9303416000000.0,,,95643923000000,8594437000000,162925000000.0,87049486000000,,216335000000,,4847314000000.0
BBKP.JK,PT Bank KB Bukopin Tbk,2019,-82955000000.0,2814040000000,216324000000.0,,8299509000000.0,,,100264248000000,8905485000000,111017000000.0,91358763000000,,133794000000,,4937609000000.0
BBKP.JK,PT Bank KB Bukopin Tbk,2020,-664760000000.0,1479130000000,-3255895000000.0,,24695037000000.0,,,79938578000000,8466442000000,-3933018000000.0,71472136000000,,-3922869000000,,3255867000000.0
BBKP.JK,PT Bank KB Bukopin Tbk,2021,-841746000000.0,1063189000000,-2282245000000.0,,18265743000000.0,,,89215674000000,13205904000000,-3080095000000.0,76009770000000,,-3144025000000,,12244684000000.0
BBKP.JK,PT Bank KB Bukopin Tbk,2022,-113152000000.0,1511373000000,-5027460000000.0,,24974224000000.0,,,89995352000000,11216605000000,-5081497000000.0,78778747000000,,-5145656000000,,16109906000000.0
BBKP.JK,PT Bank KB Bukopin Tbk,2023,-731684000000.0,1404526000000,-6034077000000.0,289184000000.0,15102080000000.0,,,84307300000000,14110163000000,,70197137000000,,-6787387000000,,5271817000000.0
BBMD.JK,PT Bank Mestika Dharma Tbk.,2018,89687000000.0,737376000000,265863000000.0,,345571000000.0,,,12093079000000,3088013000000,354520000000.0,9005066000000,,355549000000,,752586000000.0
BBMD.JK,PT Bank Mestika Dharma Tbk.,2019,83200000000.0,752343000000,247574000000.0,,276062000000.0,,,12900219000000,3480469000000,334868000000.0,9419750000000,,330774000000,,869238000000.0
BBMD.JK,PT Bank Mestika Dharma Tbk.,2020,94044000000.0,917658000000,325932000000.0,,5273000000.0,,,14159755000000,4009263000000,415733000000.0,10150493000000,,419976000000,,629124000000.0
